Name,Category,State,City,Address
Chakraborty Multi Speciality Hospital,0,Andaman and Nicobar Islands,South Andaman,Near Dollygunj Junction
Inhs Dhanvantri,0,Andaman and Nicobar Islands,South Andaman,Medical Board Office
Maricar Hospital,0,Andaman and Nicobar Islands,South Andaman,Near Masjid
Pillar Health Centre,0,Andaman and Nicobar Islands,South Andaman,"Lamba Line, P.B. No. 526"
"G B Pant Hospital, Port Blair",Public/ Government,Andaman and Nicobar Islands,South Andaman,"GB Pant Road, City Centre, Port Blair"
"Care Hospital, Banjara",Private,Andhra Pradesh,Hyderabad,"Road No.1, Banjara Hills"
Aasha Hospitals,0,Andhra Pradesh,Anantapur,"7/201, Court Road"
Abhaya Kidney Care Multispeciality Hospital,0,Andhra Pradesh,Anantapur,"10-470, Adimurthy Nagar, Opposite Guild Off Service School"
Baby Hospital,0,Andhra Pradesh,Anantapur,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex"
Dr Akbar Eye Hospital And Laser Centre,0,Andhra Pradesh,Anantapur,"12-3-234, 6Th Cross Sai Nagar"
Dr.Ysr Memorial Hospitals,0,Andhra Pradesh,Anantapur,"#12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch"
Hrudaya Children Hospital,0,Andhra Pradesh,Anantapur,Sai Nagar Iind Cross
"Jeevana Jyothi Hospitals Ltd.,",0,Andhra Pradesh,Anantapur,"#15-381, Kamala Nagar"
K K Nursing Home,0,Andhra Pradesh,Anantapur,Opposite Annapurna Lodge Kamalanagar
Meda Nursing Home,0,Andhra Pradesh,Anantapur,Railway Station Road
Mnr Nursing Home,0,Andhra Pradesh,Anantapur,"12/3-269, Sai Nagar, 6Th Cross"
Mythri Hospitals,0,Andhra Pradesh,Anantapur,D No: 15/721 Kamala Nagar
Padmavathi Hospital,0,Andhra Pradesh,Anantapur,"Aravinda Nagar, 2 Nd Cross"
Pavani Multi Speciality Hospital,0,Andhra Pradesh,Anantapur,"12-2-979,3Rd Cross, Sai Nagar"
Prasanthi Nursing Home,0,Andhra Pradesh,Anantapur,"#346, Court Road"
Priya Multispeciality Hospital,0,Andhra Pradesh,Anantapur,"#12/2/991, Sai Nagar,Main Road"
Ravitej Nursing Home,0,Andhra Pradesh,Anantapur,"15-16, Kamala Nagar"
Santhi Nursing Home,0,Andhra Pradesh,Anantapur,"Near R.T.C, Bus Stand"
Sri Prakash Eye Hospital,0,Andhra Pradesh,Anantapur,"# 12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital"
Sri Sai Balaji Hospital,0,Andhra Pradesh,Anantapur,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross"
Sri Sai Kurpa Nursing Home,0,Andhra Pradesh,Anantapur,"10/368, Sarojini Road"
Sri Sai Venkateshwara Surgical Clinic,0,Andhra Pradesh,Anantapur,Anantapur
Sudhir Surgical Clinic,0,Andhra Pradesh,Anantapur,Hospital Road
Suma Eye Clinic,0,Andhra Pradesh,Anantapur,"12-2-870,1St Cross,Sai Nagar"
Swetha Ent Hospital,0,Andhra Pradesh,Anantapur,"#12/350-A,1St Cross ,Sai Nagar"
Vaatsalya Hospital(Ananthapur),0,Andhra Pradesh,Anantapur,"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex"
Varun Children's Hospital,0,Andhra Pradesh,Anantapur,"D. No.14/224, Kamala Nagar"
Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),0,Andhra Pradesh,Anantapur,"7/201, Court Road"
Vijaya Nursing Home,0,Andhra Pradesh,Anantapur,Navodaya Colony
Divyasree Hospital,0,Andhra Pradesh,Anantapur,Adimurthy Nagar Guild Of Service Road
Mamatha Nursing Home,0,Andhra Pradesh,Anantapur,"12-2-865, 1St Cross, Sai Nagar"
Anantapuram Praja Vaidyasala,0,Andhra Pradesh,Anantapur,"28-639-1, Behind Sangamesh Funtion Hall"
Balaji Nursing Home,0,Andhra Pradesh,Anantapur,M.F. Road
Dr B V Syamala Ratnam Hospiatal,0,Andhra Pradesh,Anantapur,"Opposite R.T.C Bus Stand, Hindupur (Po)"
Girish Multispeciality Hospital,0,Andhra Pradesh,Anantapur,"#18-1-167, M F Road, Hindupur"
Shilpa Hospital,0,Andhra Pradesh,Anantapur,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur"
Sreenivasa Nursing Home,0,Andhra Pradesh,Anantapur,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur
Teja Nursing Home,0,Andhra Pradesh,Anantapur,R.P and G.T Road Hindupur
Sharada Nursing Home and Falvia P Reddy Diagnostic,0,Andhra Pradesh,Anantapur,"1/531A-3, East Palem, C B Road, Tadaptri"
Sri Kanchani Hospital,0,Andhra Pradesh,Anantapur,"C.B Road, Tadpatri"
Sri Veja Hospital,0,Andhra Pradesh,Anantapur,"14/10-3, Bukkapatnam Street,"
Azad Diabetic Centre,0,Andhra Pradesh,Anantapur,"Near Andhra Bank, Byepass Road , Kadiri"
Devi Nursing Home,0,Andhra Pradesh,Anantapur,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram"
Spandana Hospital,0,Andhra Pradesh,Anantapur,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram"
Preethi Nursing Home,0,Andhra Pradesh,Anantapur,"Thilak Nagar, Guntakal"
Babu Nursing Home - Chittoor,0,Andhra Pradesh,Chittoor,"2-1254/1 , Officecers Line, Kongareddipalli"
Dr. Agarwals Eye Hospital Ltd.,0,Andhra Pradesh,Chittoor,"22-339/2, Opposite Sbi Colony, Kongareddy Patte"
Dr. Ramalakshmi Nursing Home,0,Andhra Pradesh,Chittoor,"No.17-433, Lakshmi Complex, Sundarayyar Street"
Dr. V. K. R. Nursing Home and Scan Centre,0,Andhra Pradesh,Chittoor,"No. 20-142/1, Near Raghava Theatre, Naidu Building"
Lakshmi Hospital,0,Andhra Pradesh,Chittoor,"D.No:17-284,,T.V.Naidu St"
Ravi Nursing Home - Chitoor,0,Andhra Pradesh,Chittoor,2-55/1 Municipal Office Road Near New Rtc Bus Stand
S.M.Clinic,0,Andhra Pradesh,Chittoor,"# 2-1250, Officers Lane"
Sreelatha Modern Eye Hospital And Research Centre,0,Andhra Pradesh,Chittoor,"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office"
Sujatha Nursing Home,0,Andhra Pradesh,Chittoor,"#2-1090, Padmavathi Nagar, Piler"
Apollo Hospitals Aragonda,0,Andhra Pradesh,Chittoor,Aragonda Thavanampalle Mandal
Balaji Hospital,0,Andhra Pradesh,Chittoor,Opp:Tn Petrol Bunk Punganur Punganur
Vijaya Nursing Home,0,Andhra Pradesh,Chittoor,Gokul Theater Road Punganur Punganur
Balaji Multi Speciality Hospital,0,Andhra Pradesh,Chittoor,"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle"
Bhavya Child Care Center,0,Andhra Pradesh,Chittoor,Near Rtc Bus Stand Chittoor Madanapalli
Bhavyas Children Hospital,0,Andhra Pradesh,Chittoor,R T C Bus Stand Madanpalle
Chandra Mohan's Nursing Home,0,Andhra Pradesh,Chittoor,14/2A Ctm Road Beside Icici Bank Madanapalli
Desai Hospital,0,Andhra Pradesh,Chittoor,"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle"
Desai Hospital-Madanapalli,0,Andhra Pradesh,Chittoor,"No. 3-153-4-3-1, Near Rtc Bus Stand"
Emergency Hospital,0,Andhra Pradesh,Chittoor,"Near R.T.C.Busstand,C.T.M.Road"
Gupta Nursing Home,0,Andhra Pradesh,Chittoor,C.T.M.Road
Kathasagaram Hospitals,0,Andhra Pradesh,Chittoor,"# 15-37, Burma St, C.T.M. Road"
Leo Hospital,0,Andhra Pradesh,Chittoor,",,C.T.M.Road"
M.V.L Hospital,0,Andhra Pradesh,Chittoor,C.T.M Road(Opp State Bank Of India) Madanapalle
Madanapalle Hospital Pvt Ltd,0,Andhra Pradesh,Chittoor,"C.T.M Road, Madanapalle"
Popular Nursing Home,0,Andhra Pradesh,Chittoor,"Gandhi Road,,Gandhi Road"
Rama Orthopaedic Nursing Home,0,Andhra Pradesh,Chittoor,"Iv-5-3, Marpoori Colony, Madanapalle"
Shantharam Hospital,0,Andhra Pradesh,Chittoor,"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle"
Siloam Eye Centre,0,Andhra Pradesh,Chittoor,"(A Unit Of Lvpei ), Bangalore Road, Madanpalle"
Siloam Orthopaedic and Trauma Centre,0,Andhra Pradesh,Chittoor,"# 14-26, Old Andhra Bank Building,,C.T.M.Road"
Sri Kaveri Speciality Hospital,0,Andhra Pradesh,Chittoor,"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle"
Usha Speciality Hospital,0,Andhra Pradesh,Chittoor,"Ganesh Hotel Compound , Near .R.T.C Bus Stand,Madanapalle"
Viswa Orthopaedic Hospital,0,Andhra Pradesh,Chittoor,"D No 11-70, Patel Road Madanapalli"
Saraswathi Maternity Nursing Home,0,Andhra Pradesh,Chittoor,"Borugulabatti, Thasildhar Street Newpet"
P E S Institute Of Medical Sciences and Research,0,Andhra Pradesh,Chittoor,Kuppam Palmaner Road
Rathna Childrens and General Hospital,0,Andhra Pradesh,Chittoor,"Palace Road, Kuppam"
Sri Priya Nursing Home,0,Andhra Pradesh,Chittoor,"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam"
Apollo Multispeciality Hospital,0,Andhra Pradesh,Chittoor,"D.No :10-15-189/I2, K.K. Layout, Tirupati"
Apollo Rural Hospitals,0,Andhra Pradesh,Chittoor,"Aragonda Apollo Hospitals, Aragonda Village, Thavanam Palli Mandal"
Asalatha Medicare Pvt Lt,0,Andhra Pradesh,Chittoor,"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati"
Balaji Institute Of Surgery Research And Rehabilit,0,Andhra Pradesh,Chittoor,Tirupti (B.I.R.R.D)
Balaji Orthopaedic And Trauma Hospital,0,Andhra Pradesh,Chittoor,"#413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati"
Bhaskar Allergy and Chest Hospital,0,Andhra Pradesh,Chittoor,"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati"
Clinic Nisha,0,Andhra Pradesh,Chittoor,"398A, Doddapuram Street, Tirupati"
Dbr And Sk Super Speciality Hospital,0,Andhra Pradesh,Chittoor,"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road"
Eye Care Centre and Contact Lens Clinic,0,Andhra Pradesh,Chittoor,Nehru Nagar Behind Jyothi Talkies Tirupati
Gayatri Hospital Tirupati,0,Andhra Pradesh,Chittoor,"# 10- 13, 484* 485, V.V. Mahal Road Beside Bank Of Baroda"
Harshitha Hospital,0,Andhra Pradesh,Chittoor,"10-13-568,,Reddy and Reddy Colony"
Lotus Emergency Hosptial,0,Andhra Pradesh,Chittoor,"6-1-175A, Varadraja Nagar (Opposite Varadaraja Swamy Temple),K.T.Road"
M S Hospital,0,Andhra Pradesh,Chittoor,"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road"
M.M Hospital,0,Andhra Pradesh,Chittoor,"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati"
M/S Sapthagiri Eye Care Centre,0,Andhra Pradesh,Chittoor,"20-5-746 F, Tirumala Bye Pass Road, Karlagunta"
Manohari Nursing Home,0,Andhra Pradesh,Chittoor,"548, R.R. Colony,Tirupati"
Meghana Hospital,0,Andhra Pradesh,Chittoor,"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati"
Mother Hospital,0,Andhra Pradesh,Chittoor,"6-2-145, Opposite Bhavani Nagar, Anjaneya Tample"
Navya Netralaya Eye Hospital,0,Andhra Pradesh,Chittoor,2-2-349 K.V. Layout
Neelima Maternity Nursing Home,0,Andhra Pradesh,Chittoor,"18-2-246 , Road No-1 Abbanna Colony Tirupati"
Nirmala Hospitals,0,Andhra Pradesh,Chittoor,"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati"
Om Children Surgical Superspeciality Centre,0,Andhra Pradesh,Chittoor,"10-13-486, Reddy and Reddy Colony, Tirupati"
Prameela Hospital,0,Andhra Pradesh,Chittoor,10 - 3 - 206 Kotakommala Street Tirupati
Prashanth Hospital,0,Andhra Pradesh,Chittoor,"#: 410, Tilak Road Tilak Road Tirupati"
Purna's Remedy Hospital - Tirupathi,0,Andhra Pradesh,Chittoor,"6-7-556,Rhjare Rama Hare Krishna Road, Beside Fedaral Bank Tirupati"
Raghavendra Urological Super Speciality Hospital (Russh Hospital),0,Andhra Pradesh,Chittoor,"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati"
Rama Nursing Home,0,Andhra Pradesh,Chittoor,"535, Reddy and Reddy Colony , Tirupati"
Ramadevi Multi Super Speciality Hospital,0,Andhra Pradesh,Chittoor,"16-2-156, Sairam Street, Tirupathi"
Ramya Hospital,0,Andhra Pradesh,Chittoor,"-4-566, Nehru Nagar, Tirupathi, Chittoor"
Ravi Neuro and Emergency Hospital - Chittoor,0,Andhra Pradesh,Chittoor,"# 576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati"
Sakthi Medicals,0,Andhra Pradesh,Chittoor,"548, Reddy and Reddy Colony,Tirupati"
Shyamala Nursing Home,0,Andhra Pradesh,Chittoor,"101, Sarojinideavi Road, Tirupati"
Sree Emergency and Crticial Care Hospital,0,Andhra Pradesh,Chittoor,"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati"
Sri Chakra Hospitals,0,Andhra Pradesh,Chittoor,"10-13-496, , Reddy and Reddy Colony, Tirupati"
Sri Padmavathi Multi Speciality Hospital,0,Andhra Pradesh,Chittoor,"6-1-46, R.S.Gardens Tirupati"
Sri Ramadevi Multi Super Speciality Hospital,0,Andhra Pradesh,Chittoor,T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati
Sri Sai Ortho Care,0,Andhra Pradesh,Chittoor,"6-2-105, Old Maternity Road, Beside Rajanna Park"
Sri Sai Sudha Hospitals,0,Andhra Pradesh,Chittoor,"521, Reddy and Reddy Colony, Chittor, Tirupati"
Sri Suraksha Hospital,0,Andhra Pradesh,Chittoor,Tirupati
Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,0,Andhra Pradesh,Chittoor,No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple
Sri Venkateshwara Institute Of Medical Sciences,0,Andhra Pradesh,Chittoor,Tirupati
Sri Venkateswara Hospitals,0,Andhra Pradesh,Chittoor,"No. 20-03-88G, Siva Jyothi Nagar"
Sri Vignesh Hospital,0,Andhra Pradesh,Chittoor,"10-2-138, Opp: Saibaba Temple, Beside Pasuparthy Super Market T. K. Street"
Srinivasa Super Speciality Hospital,0,Andhra Pradesh,Chittoor,"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati"
Suguna Nursing Home,0,Andhra Pradesh,Chittoor,"515,Reddy Reddy Colony, Tirupati"
Sviss Hospital,0,Andhra Pradesh,Chittoor,"326,Nethaji Road,Tirupati"
Swaranamrutha Hospital,0,Andhra Pradesh,Chittoor,"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati"
Swarnamrutha Hospital,0,Andhra Pradesh,Chittoor,"Opp Bhavani Nagar Circle, Maternity Road"
Swetha Childrens Hospital,0,Andhra Pradesh,Chittoor,"Near New Municipal Office, Devendra Theatre, 18-1-664, Bhavani Nagar , 2Nd Street"
Triveni Child Care Hospital,0,Andhra Pradesh,Chittoor,"525,Reddy  and Reddy Colony,Tirupathi"
Vaishnavi Children Hospital,0,Andhra Pradesh,Chittoor,"575/1A, 1St Floor, Above Vodafone Show Room, Opposite Municipal Office, Tilak Road, Triupati"
Vasan Healthcare Pvt Ltd,0,Andhra Pradesh,Chittoor,"Do No:13/5/531/D11, Tuda Office Road, Beside Tuda Office Tata Nagar"
Venkataramana Heart And Maternity Hospital,0,Andhra Pradesh,Chittoor,"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati"
Vision Care Clinic,0,Andhra Pradesh,Chittoor,"6-2-88, Old Maternity Hospital Road, Tirupati"
Elite Hospital,0,Andhra Pradesh,Chittoor,"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony"
Maha Hospitals,0,Andhra Pradesh,Chittoor,13-7-936/6 Tuda Road
Vennela Super Speciality Eye and Dental Hospital,0,Andhra Pradesh,Chittoor,"502,B, 1St Floor, Opp Sbi Kt Road"
Radha Narayan Hospital For Women And Children,0,Andhra Pradesh,Chittoor,"19-4-395, Bairagipatteda North, Tirupati"
Manasa Kidney Foundation,0,Andhra Pradesh,Chittoor,"K. T. Road, Tirupati"
Rushh Hospital,0,Andhra Pradesh,Chittoor,"V.V.Mahal Road, Tirupathi"
S V Poly Clinic,0,Andhra Pradesh,Chittoor,"140, T.Nagar OppositeBhavani Nagar Anjaneyaswamy Temple"
Sneha Super Speciality Hospital,0,Andhra Pradesh,Chittoor,"Sarojini Devi Layout, Rupa Hospital Road, Tirupati"
Swarna E.N.T Super Speciality Hosptial,0,Andhra Pradesh,Chittoor,"6-1-12A, Beside Old Maternity Hospital, Tirupati"
Swarnamurtha Hospital,0,Andhra Pradesh,Chittoor,"91,Old M.H.Road,1/1,Tirupathi"
Sri Sai Nursing Home,0,Andhra Pradesh,Chittoor,"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur"
C.S.I. Hospital,0,Andhra Pradesh,Chittoor,Nagari-517590
Annapurna Hospital ( Ramarao Hospital),0,Andhra Pradesh,Chittoor,"# 6/420, Babu Agraharam,Babu Agraharam"
Chaitanya Childrens Hospital,0,Andhra Pradesh,Chittoor,"Door No-7/370, Nagarchipalem, Srikalahasti"
Eswari Nursing Home,0,Andhra Pradesh,Chittoor,"# 7-723,Kothapet"
Sai Kanthi Eye Hospital,0,Andhra Pradesh,Chittoor,Kothapet
Vani Priya Hospital,0,Andhra Pradesh,Chittoor,"V R Temple Street, Nehru Road"
Abhishek Kidney and General Hospital ( Kcm Hospital),0,Andhra Pradesh,Y.S.R.,"3/224, Upendra Complex, Christian Lane"
Ashwini Childrens Hospital,0,Andhra Pradesh,Y.S.R.,"4/460, Nagarajupet, Near Dr. Thulasamma Hospital"
Balaji Nursing Home,0,Andhra Pradesh,Y.S.R.,"6/1565, Sankara Puram"
Bharathi Hospital,0,Andhra Pradesh,Y.S.R.,"1/82,R.S.Road, Y.M.Pally, Kadapa,Gandhi Nagar, Yerramulekapally"
G. S. R. Heart Care Centre - Cuddapah,0,Andhra Pradesh,Y.S.R.,Opposite Old Municipal Office
Jyothi Nursing Home,0,Andhra Pradesh,Y.S.R.,3/374 Railway Station Road Railway Station Road
K.C.M. Hospital,0,Andhra Pradesh,Y.S.R.,"#3/224, Upendra Complex"
Likhith Laparoscopic Centre,0,Andhra Pradesh,Y.S.R.,"2/402, R.S Road, Opposite Csi Church"
Palla Krishnaiah Memorial And Nursing Home,0,Andhra Pradesh,Y.S.R.,21/188 and 21/187 Christian Lane
Pasupuleti Nursing Home,0,Andhra Pradesh,Y.S.R.,"#4-370, Infront Of H P Gas Koti Reddy Street , Nagarajupeta"
Priyatham Clinic,0,Andhra Pradesh,Y.S.R.,"Opp:Municipal Water Tank, Near Old Govt Hospital"
Sita Lakshmi Nursing Home,0,Andhra Pradesh,Y.S.R.,"21/628, Salt Felt Road"
Siva Yogi Childrens Hospital,0,Andhra Pradesh,Y.S.R.,"Beside Sri Rama Temple, Nagaraju Pet"
Sri Krishna Sahithi Eye Hospital,0,Andhra Pradesh,Y.S.R.,3/137 Christian Lane Christian Lane
Srija Rainbow Childrens Hospital,0,Andhra Pradesh,Y.S.R.,Madras Road
Srinivasa Nursing Home,0,Andhra Pradesh,Y.S.R.,"7/304, Holmbspet, Produttur (P.O.)"
Tata Reddy Ramalinga Reddy Nursing Home,0,Andhra Pradesh,Y.S.R.,"17/48, Kapu Street, Jammalamadugu"
Thulasamma Hospital,0,Andhra Pradesh,Y.S.R.,"4/110, Nagarajupet, Near Womens College"
Tirumala Hospitals,0,Andhra Pradesh,Y.S.R.,"21/16, R.S.Road,Guntha Bazar, Near 7 Roads,OppositeNear Sri Devi Scan Centre"
Vijaya Nursing Home,0,Andhra Pradesh,Y.S.R.,Prodatoor
Vurimi Savitramma Cardiac Centre,0,Andhra Pradesh,Y.S.R.,# 3/225 Upendra Complex Christian Lane
Deepa Nursing Home,0,Andhra Pradesh,Y.S.R.,2/1115-1 Nehrunagar
Dr G R K R Multi Speciality Hospitals,0,Andhra Pradesh,Y.S.R.,"6/1414, Sankarapuram"
Jyothi Nursing Home,0,Andhra Pradesh,Y.S.R.,"Near Petrol Bunk, R. S. Road"
Remedy Hospital,0,Andhra Pradesh,Y.S.R.,"D.No.3/221,Christian Lane,Near 7 Roads"
Sri Satya Sai Hospital,0,Andhra Pradesh,Y.S.R.,"6-880, Madras Road Sankarapuram"
Himalaya Multi Speciality Hospital,0,Andhra Pradesh,Y.S.R.,"D.No 1- 81/1, Teja Enclave, R.S.Road, Yerra Mukkapalli"
Usha Rani Nursing Home,0,Andhra Pradesh,Y.S.R.,"1/706 - 3, Dwarakanagar"
Vishnu Nursing Home,0,Andhra Pradesh,Y.S.R.,10/596 M. G. Road Rly. Kodur
Sree Durgaa Nursing Home,0,Andhra Pradesh,Y.S.R.,Nagulamanu Street Rajampet Rajampet
Sri Sai Nursing Home,0,Andhra Pradesh,Y.S.R.,"6/133, R S Road Rajampet Rajampet"
Our Lady Of Fatima Hospital,0,Andhra Pradesh,Y.S.R.,Porumamilla
Madhavi Nursing Home,0,Andhra Pradesh,Y.S.R.,"Harinatha Street, Rayachoty"
Raviteja Nursing Home,0,Andhra Pradesh,Y.S.R.,Rayachoti
Abhilash Netra Vidyasala,0,Andhra Pradesh,Y.S.R.,"3/1350, Gandhi Road Opp: Iswarya Complex Proddatur"
B. G. R. Hospital,0,Andhra Pradesh,Y.S.R.,"Gandhi Road, Proddatur (P.O.)"
Bhavya Nursing Home,0,Andhra Pradesh,Y.S.R.,"Near Gabdhi Statue, Gandhi Road, Proddatur"
Cnr Nursing Home,0,Andhra Pradesh,Y.S.R.,Gandhi Road Proddutur Proddatur 516360  Kadapa
Dr. S. V. R. Hospital,0,Andhra Pradesh,Y.S.R.,"3/1471, Opposite Super Bazar Road, Gandhi Road"
Jaya Vishnu Nursing Home,0,Andhra Pradesh,Y.S.R.,"5/1888, Geetha Ashramam Road"
Kalyana Chakravarthy Hospitals - Proddatur,0,Andhra Pradesh,Y.S.R.,"3 / 1467 , Holmespet , Proddatur"
Kathya Nursing Home,0,Andhra Pradesh,Y.S.R.,"8/399, Swayam Sevak Road, Proddatur"
Lakshmi Kishore Hospital,0,Andhra Pradesh,Y.S.R.,"No. 5/1895, Gandhi Road,Geetha Ashram Street"
Latha Mutispeciality Hospital - Proddatur,0,Andhra Pradesh,Y.S.R.,"3 - 146 Holmespeta, Proddatur rict"
Orthopaedic And Maternity Hospital,0,Andhra Pradesh,Y.S.R.,"Dr.Ramalinga Reddy Hospital Campus, Holmeset, Proddatur"
Prasad Nursing Home,0,Andhra Pradesh,Y.S.R.,Sreeramulapeta
Shree Veja Nursing Home,0,Andhra Pradesh,Y.S.R.,"8/700, OppositePosina Compound, Gandhi Road,Proddatur"
Siva Nursing Home,0,Andhra Pradesh,Y.S.R.,"4/626,Gandhi Road,Proddatur"
Sree Veja Nursing Home,0,Andhra Pradesh,Y.S.R.,"8/699, Gandhi Road"
Sri Sai Hospitals,0,Andhra Pradesh,Y.S.R.,"3/1396, Homes Pet, Proddatur, Near Gandhi Statue,Proddatru Municipality"
Sri Swarna Hospital,0,Andhra Pradesh,Y.S.R.,"3/1470, Opposite Care Diagnostics Centre, Gandhi Road, Proddatur (P.O.)"
Swarup Eye Hospital and Laser Center,0,Andhra Pradesh,Y.S.R.,T. B. Road
Vaatsalya Hospital,0,Andhra Pradesh,Y.S.R.,Nagadastagiri Healthcare Comples 3/1467 Holmespet Proddatur
Vijaya Eye Hospital,0,Andhra Pradesh,Y.S.R.,"Dr S Vijaya M S, Vijaya Eye Hospital, 4/624, Gandhi Road, Proddatur"
Dinesh Medical Centre,0,Andhra Pradesh,Y.S.R.,"Balarapuram, Pulivendula"
Nikhil Nursing Home,0,Andhra Pradesh,Y.S.R.,Holmespet Proddatur
Sree Tati Reddy Ramalinga Reddy Nursing Home,0,Andhra Pradesh,Y.S.R.,"17-48, Kapu Street, Jammalamadugu"
Sri Thati Reddy Ramalinga Reddy Nursing Home,0,Andhra Pradesh,Y.S.R.,"17/48, Kapu Street Jammalamadugu"
Venkata Sai Baradwaja Hospital,0,Andhra Pradesh,Y.S.R.,"M D O Office Road, Jammalamadugu"
7 Star Superspeciality Hospital,0,Andhra Pradesh,East Godavari,"20-1-61, Opposite L. I. C. Building, Main Road"
Apollo Samudra Hospitals,0,Andhra Pradesh,East Godavari,"13-1-3, Main Road, Kakinada"
Bharani Hospital,0,Andhra Pradesh,East Godavari,Kakinada
Care Emergency Hospital,0,Andhra Pradesh,East Godavari,"Near Ii Town Police Station,Main Road."
Christian Cancer Center,0,Andhra Pradesh,East Godavari,Kakinada
D V Raju Eye Hospital,0,Andhra Pradesh,East Godavari,P.R.College Road
Haritha Hospitals,0,Andhra Pradesh,East Godavari,"P R College Road, Opp Govt Hospitals P R College Road Kakinada"
Kakinada Nursing Home,0,Andhra Pradesh,East Godavari,Kakinada
Life Line Emergency Hospital,0,Andhra Pradesh,East Godavari,"13-1-13, Main Road, Kakinada"
Raghava 24 Hrs Emergency Hospital,0,Andhra Pradesh,East Godavari,11-11-3/1 Prabhakara Street Ramaraopeta Kakinada
Rajeswari Medicals,0,Andhra Pradesh,East Godavari,Rajeswai Medicals 50 Builiding Bhaskar Nagar Jn Kakinada-3
Ramya Hospitals,0,Andhra Pradesh,East Godavari,"# 9-11-130, Gandhi Nagar, Back Side Of Gandhi Statue"
Sai Sudha Hospital,0,Andhra Pradesh,East Godavari,"21-1-24,Jawahar Street,Shalypet"
Sapthagiri Hospitals,0,Andhra Pradesh,East Godavari,"Jawahar Street,Salipeta"
Shravani Ent Hospital,0,Andhra Pradesh,East Godavari,"Dno:21-1-29, Jawahar St, Kakinada"
Siddhartha Hospital,0,Andhra Pradesh,East Godavari,"34-1-20, Temple Street, rict East Godawari, Kakinada,"
Sree Bala Nursing Home Sree Bala Ent Care Centre,0,Andhra Pradesh,East Godavari,"12-2-24, Dantuvari Street,Behind Chandana Brothers"
Sri Gowthami Nursing Home,0,Andhra Pradesh,East Godavari,"Nageswara Rao Street,Ramrao Pet,Kakinada"
Sri Lalitha Hospitals Institute Of Lap Surgery And Training,0,Andhra Pradesh,East Godavari,"Cinema Street, Opp Anandabharathi, Cinema Street Kakinada 533001  East Godavari"
Sri Srinivasa Orthopaedic Centre and Nursing Home,0,Andhra Pradesh,East Godavari,"7-3-15 Prakash St, Ramarao Peta, Kakinada"
Srihitha Children Hospital,0,Andhra Pradesh,East Godavari,Rajahmundry
Vijaya Lakshmi Nursing Home,0,Andhra Pradesh,East Godavari,Kikinada
Vijaya Nursing Home,0,Andhra Pradesh,East Godavari,Jawahar Street Kakinada Kakinada 533001  East Godavari
Vishwanadha Eye and Maternity Hospital,0,Andhra Pradesh,East Godavari,Rajahmundry
Bhanu Nursing Home and Eye Hospital,0,Andhra Pradesh,East Godavari,"Endowments Colony, 100 Building Centre Srinagar"
Lifeline Emergency and Neuro Centre,0,Andhra Pradesh,East Godavari,"Nfcl Road, Nagamallithota Junction,"
