Name,Category,State,City
"210075-ADISHAKTI DHANDAI MATA SHIKSHAN PRASARAK SASNSTHA'S LATE ANNASAHEB R.D.DEORE ARTS & SCIENCE COLLEGE, MHASDI,TAL-SAKRI",College,Maharashtra,Dhule
"210076-TRIMURTI SHIKSHAN SANSTHA'S SMT.VIMALBAI UTTAMRAO PATIL ARTS AND LATE DR.BHASKAR SADASHIV DESALE SCIENCE COLLEGE,SAKRI.",College,Maharashtra,Dhule
"220028-JIJAMATA EDUCATION SOCIETY'S ARTS, SCIENCE AND COMMERCE COLLEGE, NANDURBAR TAL-NANDURBAR",College,Maharashtra,Nandurbar
"220029-TES'S ARTS,COMMERCE & SCIENCE MAHILA MAHAVIDYALAYA, NANDURBAR.",College,Maharashtra,Nandurbar
"220052-NTVS'S COLLEGE OF EDUCATION, NANDURBAR.",College,Maharashtra,Nandurbar
"220053-NANDURBAR TALUKA VIDHAYAK SAMITI'S G.T.PATIL ARTS, COMMERCE AND SCIENCE COLLEGE, NANDURBAR.",College,Maharashtra,Nandurbar
"220077-NANDURBAR TALUKA VIDHAYAK SAMITI'S COLLEGE OF LAW, INSTITUTE OF LEGAL EDUCATION & RESEARCH, NANDURBAR",College,Maharashtra,Nandurbar
"220105-JIJAMATA EDUCATION SOCIETY'S COLLEGE OF EDUCATION, NANDURBAR",College,Maharashtra,Nandurbar
"230032-PSGVPM'S D.N.PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST-NANDURBAR.",College,Maharashtra,Nandurbar
"230033-POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S S. I. PATIL ARTS, G. B. PATEL SCIENCE AND S.T. K. V. SANGH COMMERCE COLLEGE, SHAHADA, DIST-NANDURBAR",College,Maharashtra,Nandurbar
230034-POOJYA SANE GURUJI VIDYA PRASARAK MANDAL'S COLLEGE OF EDUCATION SHAHADA NANDURBAR,College,Maharashtra,Nandurbar
"230056-SATPUDA SHIKSHAN PRASARAK MANDAL SANCHALIT VASANTRAO NAIK ARTS SCIENCE AND COMMERCE COLLEGE, SHAHADA TAL. SHAHADA DIST. NANDURBAR",College,Maharashtra,Nandurbar
"230065-PSGVPM'S COLLEGE OF PHARMACY, SHAHADA, DIST-NANDURBAR.",College,Maharashtra,Nandurbar
"230066-GRAM VIKAS SANSTHA'S ARTS COLLEGE, BAMKHEDA, TAL-SHAHADA. DIST. NANDURBAR",College,Maharashtra,Nandurbar
"230069-SSPM'S ARTS MAHILA COLLEGE, SHAHADA.",College,Maharashtra,Nandurbar
"230078-SHAHADA TALUKA EDUCATIONAL SOCIETY & CO-OPERATIVE EDUCATIONAL SOCIETY LTD. SCIENCE SENIOR COLLEGE, SHAHADA DIST- NANDURBAR",College,Maharashtra,Nandurbar
"230099-SHRI SAIBABA BHAKTA MANDAL SANCHALIT, KALA  VARISHTHA  MAHAVIDYALAY, MHASAWAD TAL. SHAHADA DIST. NANDURBAR",College,Maharashtra,Nandurbar
"230102-SHAHADA TALUKA EDUCATIONAL SOCIETY & CO-OPERATIVE EDUCATIONAL SOCIETY LTD. INSTITUTE OF MANAGEMENT RESEARCH & DEVELOPMENT, SHAHADA",College,Maharashtra,Nandurbar
"240036- S.P.D.M. ARTS, S.B.B. & S.H.D. COMMERCE & S.M.A. SCIENCE COLLEGE, SHIRPUR.",College,Maharashtra,Dhule
"240039-SES'S Smt. H.R.PATEL ARTS MAHILA MAHAVIDYALAYA, SHIRPUR.",College,Maharashtra,Dhule
