Name,Category,State,City
"130082-SSMACT'S SMT. SITABAI MANGILAL AGRAWAL INSTITUTE OF MANAGEMENT, CHALISGAON",College,Maharashtra,Jalgaon
"130083-MAHATMA PHULE SAMAJIK AND SHAIKSHANIK VIKAS MANDALACHE MAHATMA PHULE ARTS AND SCIENCE COLLEGE, CHALISGAON TAL.CHALISGAON DIST. JALGAON",College,Maharashtra,Jalgaon
"130091-MAHATMA FULE SAMAJIK V SHAIKSHANIK VIKAS MANDAL SANCHALIT MAHATMA PHULE COLLEGE OF EDUCATION, CHALISGAON",College,Maharashtra,Jalgaon
"130106-KDMG'S NANASAHEB DR.UTTAMRAO MAHAJAN COLLEGE OF EDUCATION,KARGAON,TAL-CHALISGAON",College,Maharashtra,Jalgaon
"140024-CES'S COLLEGE OF EDUCATION, CHOPDA.",College,Maharashtra,Jalgaon
"140046-MGSM'S SMT.SHARADCHANDRIKA SURESH PATIL COLLEGE OF PHARMACY, CHOPDA",College,Maharashtra,Jalgaon
"140065-PS&SSS PANKAJ ARTS COLLEGE, CHOPDA",College,Maharashtra,Jalgaon
"150026-JDMVP CO-OP S'S ARTS,COMMERCE & SCIENCE COLLEGE, YAWAL.",College,Maharashtra,Jalgaon
"150027-TMES'S J.T.MAHAJAN COLLEGE OF ENGINEERING, FAIZPUR.",College,Maharashtra,Jalgaon
"150028 - TAPI VALLEY EDUCATION SOCIETY'S DHANAJI NANA MAHAVIDYALAYA, FAIZPUR.",College,Maharashtra,Jalgaon
"150051-TVES'S HON'BLE LOKSEVAK MADHUKARRAO CHAUDHARI COLLEGE OF PHARMACY, FAIZPUR.",College,Maharashtra,Jalgaon
"150056-SES'S ARTS & SCIENCE COLLEGE, BHALOD, TAL. YAWAL",College,Maharashtra,Jalgaon
"160030-YASHWANTRAO CHAVAN SHIKSHAN PRASARAK MANDAL'S DADASAHEB DIGAMBAR SHANKAR PATIL ARTS, COMMERCE AND SCIENCE COLLEGE, ERANDOL",College,Maharashtra,Jalgaon
"160031-P.R.HIGH SCHOOL SOCIETY'S ARTS, COMMERCE AND SCIENCE COLLEGE, DHARANGAON, TAL : DHARANGAON",College,Maharashtra,Jalgaon
