Name,Category,State,City,Rating
3 Story,Restaurant,Gujarat,Surat,4
3 Way Adda,Restaurant,Assam,Guwahati,3.5
3 Way Point,Restaurant,Assam,Guwahati,3.9
3 Way Restaurant & Cafe,Restaurant,Uttar Pradesh,Allahabad,3.4
30 Cordon Bleu,Restaurant,Uttarakhand,Dehradun,4.3
'-301°F! & Urban Waffle,Restaurant,Jharkhand,Ranchi,4
31 Burgers,Restaurant,Uttar Pradesh,Lucknow,3.4
33 Eat Street,Restaurant,Assam,Guwahati,2.9
33 Park Street By Junction,Restaurant,Jharkhand,Jamshedpur,4.1
34 Chowringhee Lane,Restaurant,Madhya Pradesh,Bhopal,3.7
34 Chowringhee Lane,Restaurant,Delhi,Delhi NCR,3.7
34 Chowringhee Lane,Restaurant,Delhi,NCR,3.7
34 Chowringhee Lane,Restaurant,Chandigarh,Chandigarh,3.8
34 Chowringhee Lane,Restaurant,Punjab,Ludhiana,3.8
34 Chowringhee Lane,Restaurant,Uttarakhand,Dehradun,3.9
34 Chowringhee Lane,Restaurant,Uttarakhand,Rishikesh,4.2
34 Stairs,Restaurant,Uttar Pradesh,Allahabad,4.2
34th August,Restaurant,Punjab,Jalandhar,3.5
36 China Town,Restaurant,Maharashtra,Amravati,3.3
36 China Town,Restaurant,Delhi,NCR,3.7
37 Street Affair,Restaurant,Assam,Guwahati,4.1
37 The Central,Restaurant,Himachal Pradesh,Shimla,4.3
38 Street,Restaurant,Chandigarh,Chandigarh,4.1
3B Tea,Restaurant,Gujarat,Vadodara,3.5
3C's Cafe,Restaurant,Uttar Pradesh,Agra,4
3C's Shake Time,Restaurant,Uttar Pradesh,Agra,4
3D FoodZ,Restaurant,Punjab,Amritsar,4
3Monkeys,Restaurant,Uttarakhand,Dehradun,4
3rd Milestone Restaurant,Restaurant,Uttar Pradesh,Meerut,4
3Seventy Bistro,Restaurant,Gujarat,Surat,4.2
3Seventy Kitchen,Restaurant,Gujarat,Surat,4.2
3T Foodrinks,Restaurant,Bihar,Patna,4
4 Chef - AIIMS,Restaurant,Uttarakhand,Rishikesh,4.3
4 Chef Cafe & Snack Bar,Restaurant,Uttarakhand,Rishikesh,3.5
4 Chili's Kitchen,Restaurant,Telangana,Hyderabad,4.1
4 Mealer,Restaurant,Uttar Pradesh,Lucknow,4.1
4 Seasons,Restaurant,Telangana,Hyderabad,4.1
4 seasons - The Cafe Restro,Restaurant,Assam,Guwahati,4
4 Seasons Bakery & Restaurant,Restaurant,Andhra Pradesh,Visakhapatnam,4.3
4 Ways Cafe & Pizza,Restaurant,Chandigarh,Chandigarh,4
40 Indian Thalis(PAU),Restaurant,Punjab,Ludhiana,3.8
47 South Tangra Road,Restaurant,West Bengal,Kolkata,4.2
48 Deg.C,Restaurant,Maharashtra,Nagpur,4.3
4M Biryani House,Restaurant,Andhra Pradesh,Vijayawada,3.1
4M Biryani House,Restaurant,Telangana,Hyderabad,4.2
4M Kitchen,Restaurant,Gujarat,Surat,3.7
4th Street Dining Hall,Restaurant,West Bengal,Kolkata,4.3
5 Flavours Restaurant & Cafe,Restaurant,Rajasthan,Ajmer,3.5
5 Heads Resto Cafe,Restaurant,Andhra Pradesh,Visakhapatnam,3.2
5 Shots Bistro Cafe,Restaurant,Tamil Nadu,Coimbatore,3.1
5 Shots The Juice Bar,Restaurant,Tamil Nadu,Salem,4.1
5 Spice,Restaurant,Maharashtra,Mumbai,3.8
5 Star Canteen,Restaurant,Goa,Goa,4
5 Star Diamond Classic Pizza,Restaurant,Uttar Pradesh,Saharanpur,4.1
5 Star Momos,Restaurant,Assam,Guwahati,3.7
5 Star Pizza,Restaurant,Uttar Pradesh,Gorakhpur,3.6
50 Ml Bar,Restaurant,Uttar Pradesh,Kanpur,4
50 Shades Of Food,Restaurant,West Bengal,Kolkata,3.6
50+ Burger,Restaurant,Tamil Nadu,Chennai,3.4
53 Cafe House,Restaurant,Bihar,Patna,4
55 Bistro,Restaurant,Andhra Pradesh,Nellore,4
56 Rajwade Cafe & Restaurant,Restaurant,Madhya Pradesh,Jabalpur,3.7
6 Ballygunge Place,Restaurant,West Bengal,Kolkata,4.3
6 Ballygunge Place Take Away,Restaurant,West Bengal,Kolkata,4.4
6 Ballygunge Place Takeaway,Restaurant,West Bengal,Kolkata,4.2
6 Ballygunge Place Thali,Restaurant,West Bengal,Kolkata,4.2
6 One Restaurant,Restaurant,Bihar,Darbhanga,4
60 ML,Restaurant,Madhya Pradesh,Indore,3.8
65 Corner Fast Food,Restaurant,Telangana,Hyderabad,4.1
666 Cafe,Restaurant,Punjab,Jalandhar,3.3
7 Art's Of Swad,Restaurant,Gujarat,Bhavnagar,4
7 Bakes,Restaurant,Karnataka,Mangalore,4.3
7 Cheese Pizza,Restaurant,Uttarakhand,Dehradun,4.1
7 Coffee Beans,Restaurant,Andhra Pradesh,Guntur,4.3
7 Colour's Kabab Hut,Restaurant,Bihar,Patna,4
7 Days,Restaurant,Bihar,Patna,3.5
7 Days Pure Veg Restaurant,Restaurant,Maharashtra,Nagpur,3.7
7 Degree Lounge,Restaurant,Uttar Pradesh,Kanpur,3.9
7 Eleven Fried Chicken,Restaurant,Tamil Nadu,Trichy,4
7 Heaven Restro,Restaurant,Uttar Pradesh,Allahabad,4
7 Sisters,Restaurant,Telangana,Hyderabad,4.1
7 Spice,Restaurant,Maharashtra,Mumbai,4.1
7 Spicery,Restaurant,Uttar Pradesh,Lucknow,4
7 Spices,Restaurant,Rajasthan,Ajmer,4.1
7 Spices Restaurant,Restaurant,Rajasthan,Kota,4.1
7 Star Dhaba,Restaurant,Rajasthan,Ajmer,4.1
7/12 Fried Ice Cream,Restaurant,West Bengal,Kolkata,3
7/12 Fried Ice Cream Parlour,Restaurant,West Bengal,Kolkata,3
70 Percent Diet,Restaurant,Uttarakhand,Dehradun,4.4
70 Percent Restro Cafe,Restaurant,Uttarakhand,Dehradun,4.3
78 Degrees Cafe & Restro,Restaurant,Madhya Pradesh,Bhopal,3.6
78 Singh,Restaurant,Rajasthan,Jaipur,3.9
786 Biryani,Restaurant,Andhra Pradesh,Vijayawada,4.1
786 Chicken & Biryani Center Chacha Ki Dukan,Restaurant,Chhattisgarh,Raipur,3.8
7th Cloud Restaurant,Restaurant,Madhya Pradesh,Indore,4.2
7th Heaven,Restaurant,Punjab,Jalandhar,3.3
7th Heaven,Restaurant,Bihar,Motihari,3.3
7th Heaven,Restaurant,Chhattisgarh,Raipur,3.4
7th Heaven,Restaurant,Bihar,Darbhanga,3.4
7th Heaven,Restaurant,Maharashtra,Mumbai,3.6
7th Heaven,Restaurant,Gujarat,Rajkot,3.7
7th Heaven,Restaurant,Punjab,Amritsar,3.7
7th Heaven,Restaurant,Uttar Pradesh,Jhansi,3.8
7th Heaven,Restaurant,Bihar,Patna,3.8
7th Heaven,Restaurant,Bihar,Darbhanga,3.9
7th Heaven,Restaurant,Uttar Pradesh,Firozabad,3.9
7th Heaven,Restaurant,West Bengal,Siliguri,3.9
7th Heaven,Restaurant,Andhra Pradesh,Vijayawada,4
7th Heaven,Restaurant,Uttarakhand,Haridwar,4
7th Heaven,Restaurant,West Bengal,Kolkata,4
7th Heaven,Restaurant,Jharkhand,Jamshedpur,4.1
7th Heaven,Restaurant,Punjab,Ludhiana,4.1
7th Heaven,Restaurant,Uttar Pradesh,Lucknow,4.2
7th Heaven,Restaurant,Uttar Pradesh,Bareilly,4.2
7th Heaven,Restaurant,Uttar Pradesh,Varanasi,4.2
7th Heaven,Restaurant,Bihar,Patna,4.2
7th Heaven,Restaurant,Odisha,Cuttack,4.3
7th Heaven,Restaurant,Uttar Pradesh,Jhansi,4.3
7th Heaven,Restaurant,Karnataka,Manipal,4.3
7th Heaven - A Slice of Happiness,Restaurant,Karnataka,Mangalore,4
7th Heaven - A Slice of Happiness,Restaurant,Karnataka,Manipal,4.3
7th Heaven - A Slice of Happiness,Restaurant,Karnataka,Mangalore,4.4
7th Heaven Bakery,Restaurant,Andhra Pradesh,Visakhapatnam,4.3
7th Heaven Cafe,Restaurant,Uttar Pradesh,Jhansi,3.9
7th Heaven Cafe & Lounge,Restaurant,Uttar Pradesh,Jhansi,3.4
7th Heaven Cake Shop,Restaurant,Tamil Nadu,Coimbatore,4.2
7th Heaven Cake Shop,Restaurant,Maharashtra,Pune,4.2
7th Heaven Cake Shop,Restaurant,Bihar,Patna,4.3
7th Heaven Restaurant,Restaurant,Bihar,Gaya,3
7th Heaven Slice Of Happiness,Restaurant,Karnataka,Mangalore,4.3
7th Heaven-Derebail,Restaurant,Karnataka,Mangalore,4
7th Sky,Restaurant,Bihar,Patna,3.7
7ven 11ven Restaurant,Restaurant,Chandigarh,Chandigarh,4.3
8 Momoz,Restaurant,Uttarakhand,Dehradun,4.1
8 The Pizza Stone,Restaurant,Gujarat,Ahmedabad,4.3
80N Restaurant,Restaurant,Rajasthan,Jaipur,3.6
812 CE - Courtyard By Marriott,Restaurant,Gujarat,Vadodara,3.9
87 Cafe & Resto,Restaurant,Bihar,Patna,3.4
89 Mint Leaf,Restaurant,Uttar Pradesh,Lucknow,4.2
8th Day Cafe & Bakery,Restaurant,West Bengal,Kolkata,4.4
8th Day Cafe & Bakery,Restaurant,West Bengal,Kolkata,4.4
9 Coins Cafe,Restaurant,Uttar Pradesh,Meerut,4
9 PM Cafe,Restaurant,Uttar Pradesh,Kanpur,3.4
9 Shine,Restaurant,Punjab,Jalandhar,4.3
9 Street Pizza,Restaurant,Uttar Pradesh,Gorakhpur,3.8
9 Tea's Cafe,Restaurant,Uttar Pradesh,Allahabad,3.5
9 To 9 Biryani & Street Food,Restaurant,Bihar,Patna,4.2
90's Cafe,Restaurant,Tamil Nadu,Salem,4.2
90's Memories,Restaurant,Tamil Nadu,Salem,3.8
90's Restaurant,Restaurant,Andhra Pradesh,Vijayawada,4
90's Restro,Restaurant,Rajasthan,Jodhpur,3.8
91 Kitchen,Restaurant,Gujarat,Surat,3.9
9834 The Fruit Truck,Restaurant,Gujarat,Ahmedabad,4.1
9834 The Fruit Truck,Restaurant,Gujarat,Rajkot,4.5
9834 The Fruit Window,Restaurant,Gujarat,Bhavnagar,4.2
99 Biryani.Com,Restaurant,Maharashtra,Nagpur,3.6
99 Cakes,Restaurant,Maharashtra,Mumbai,4.3
99 Cakes & Bakers,Restaurant,Gujarat,Bhavnagar,4
99 Chickens,Restaurant,Uttar Pradesh,Varanasi,4.3
99 Crispy Bazar,Restaurant,Odisha,Cuttack,4
99 Dosa D'lite & Chaat Point,Restaurant,Uttar Pradesh,Gonda,3.5
99 Foodie Adda,Restaurant,Rajasthan,Bikaner,4
99 Only,Restaurant,Assam,Guwahati,3.8
99 Pancakes,Restaurant,Madhya Pradesh,Indore,4
99 Pancakes,Restaurant,Maharashtra,Mumbai,4.2
99 Pancakes,Restaurant,Telangana,Hyderabad,4.2
99 Pancakes,Restaurant,Chhattisgarh,Raipur,4.2
99 Pancakes,Restaurant,Gujarat,Surat,4.2
99 Pancakes,Restaurant,Maharashtra,Nashik,4.3
99 Pancakes,Restaurant,Maharashtra,Kolhapur,4.3
99 Pancakes,Restaurant,Uttar Pradesh,Allahabad,4.3
99 Pancakes,Restaurant,Madhya Pradesh,Jabalpur,4.5
99 Pancakes,Restaurant,Uttar Pradesh,Varanasi,4.5
99 Pizza,Restaurant,Karnataka,Mangalore,3.7
99 Pizza,Restaurant,Tamil Nadu,Vellore,3.9
99 Pizza And More,Restaurant,Madhya Pradesh,Indore,3.8
99 Rotiwala,Restaurant,Madhya Pradesh,Bhopal,3.6
99 Rotiwala,Restaurant,Madhya Pradesh,Indore,3.6
99 Rotiwala,Restaurant,Madhya Pradesh,Indore,4
99 Rotiwala LIG,Restaurant,Madhya Pradesh,Indore,3.9
99 Sabjiwala,Restaurant,Madhya Pradesh,Indore,3.4
99 Sweet Jars,Restaurant,Punjab,Amritsar,4.1
99 Tasty Food Hub,Restaurant,Punjab,Ludhiana,3.3
99 Thali,Restaurant,Maharashtra,Nagpur,3.1
99 Trisha Foods,Restaurant,Madhya Pradesh,Indore,3.8
99 Varieties Dosa & Pav Bhaji,Restaurant,Karnataka,Bangalore,3.7
99 Waffles,Restaurant,Maharashtra,Mumbai,3.5
99 Wala By Qimbu,Restaurant,Maharashtra,Nashik,4.3
9th Street,Restaurant,Odisha,Bhubaneswar,4.1
9th Street Hideaway Restro And Cafe,Restaurant,Odisha,Bhubaneswar,4.2
A - One Momo!,Restaurant,Jharkhand,Ranchi,4.4
A & C Burger Shoppee,Restaurant,Uttar Pradesh,Agra,4.1
A 1 bharit center,Restaurant,Maharashtra,Jalgaon,4.1
A 2 Pizza,Restaurant,Uttarakhand,Dehradun,3.8
A Balaji Santosh Dhaba,Restaurant,Telangana,Hyderabad,4.1
A Cafe,Restaurant,Andhra Pradesh,Guntur,3.1
A Ccream Corner,Restaurant,Maharashtra,Kolhapur,4
A Dessert King,Restaurant,Delhi,NCR,3.7
A Gourmesserie,Restaurant,Gujarat,Ahmedabad,4.4
A Kit Kat Bakery,Restaurant,Andhra Pradesh,Vijayawada,4.1
A Lua Restaurant & Bar,Restaurant,Goa,Goa,4
A Marron Burger,Restaurant,Gujarat,Ahmedabad,3.5
A Metro Cuisine,Restaurant,Assam,Guwahati,3.8
A One Bakery,Restaurant,Uttar Pradesh,Bareilly,2.6
A One Bakery,Restaurant,Rajasthan,Udaipur,3.6
A One Bakery,Restaurant,Uttar Pradesh,Lucknow,4.2
A One Bombay Biryani,Restaurant,Gujarat,Ahmedabad,4.1
A One Coco,Restaurant,Gujarat,Surat,3.7
A One Coco,Restaurant,Gujarat,Surat,4.6
A One Cold Coco & Juice Center,Restaurant,Gujarat,Surat,4
A One Cold Coco And Juice Corner,Restaurant,Gujarat,Surat,4
A One Fast Food,Restaurant,Uttar Pradesh,Agra,3
A One Fry Center,Restaurant,Gujarat,Vadodara,3.5
A One Hotel & Fast Food,Restaurant,Odisha,Cuttack,3.4
